FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
97,0.27329914517153625,0.3117179101921069,0.29250852768182156,[0.47822216 0.35991594],[0.48917651 0.3491644 ],[0.50285256 0.3485575 ],[0.51494288 0.35369322],[0.5014466  0.35822347],[0.48910519 0.35975412],1663675352074
98,0.2616298195483207,0.3317840313026235,0.2967069254254721,[0.47318125 0.36213034],[0.48471332 0.35171878],[0.49860057 0.35075724],[0.51067132 0.35511908],[0.49808496 0.36024728],[0.48526964 0.36215708],1663675352093
99,0.28049731536764755,0.31020261548314954,0.29534996542539854,[0.47493911 0.36395386],[0.48498288 0.3524785 ],[0.49891815 0.35147792],[0.51150739 0.35663587],[0.49828914 0.36141136],[0.48585477 0.36341181],1663675352114
100,0.2757481066356561,0.31824524898433826,0.29699667780999717,[0.47853413 0.364364  ],[0.48848942 0.35276753],[0.50238132 0.35171711],[0.51524448 0.35723609],[0.50141668 0.36156884],[0.48914865 0.36347213],1663675352135
101,0.2771090617245728,0.3394063882273828,0.3082577249759778,[0.48049158 0.36099589],[0.49026737 0.34953779],[0.50398338 0.34880471],[0.5166086  0.35430622],[0.50315636 0.3583819 ],[0.49109775 0.36025   ],1663675352155
102,0.29032112644108393,0.32406179091033177,0.30719145867570785,[0.48151878 0.36064443],[0.49114358 0.34852904],[0.50545973 0.34738153],[0.51848614 0.35341436],[0.50458694 0.3578704 ],[0.4920873 0.3598361],1663675352181
103,0.2989267285566333,0.33600057950110723,0.3174636540288703,[0.48377207 0.35864633],[0.49465519 0.34704289],[0.50878811 0.34676835],[0.52104652 0.3526085 ],[0.50706303 0.35749876],[0.49455193 0.35874936],1663675352203
104,0.27592254503734737,0.3318068080815829,0.30386467655946514,[0.48933959 0.35798401],[0.50000817 0.347148  ],[0.51401198 0.34686333],[0.52652001 0.35257611],[0.51229841 0.35677278],[0.49985492 0.35782412],1663675352229
105,0.2794546824170495,0.3281973526038699,0.3038260175104597,[0.49164981 0.35838324],[0.5025121  0.34736082],[0.51678532 0.34716612],[0.52924377 0.35327736],[0.51503134 0.35723424],[0.502442   0.35834536],1663675352250
106,0.24963516160059424,0.3247914518593604,0.28721330672997736,[0.49052599 0.35868871],[0.50330895 0.34970802],[0.51708096 0.34973809],[0.52829868 0.3540571 ],[0.51585817 0.35865718],[0.50288796 0.35969666],1663675352268
107,0.27887954234701623,0.3301284400373889,0.30450399119220256,[0.49036539 0.35797736],[0.50230336 0.34794205],[0.51624668 0.34838015],[0.52806669 0.35425082],[0.51412451 0.358334  ],[0.50139862 0.35885778],1663675352290
108,0.2793679089999415,0.3186889769633521,0.29902844298164677,[0.48739037 0.35659602],[0.4999724  0.34694716],[0.51374757 0.34750479],[0.52511013 0.35303542],[0.51196855 0.35744074],[0.49905536 0.35798424],1663675352308
109,0.2768774506828866,0.3012904085366483,0.2890839296097675,[0.48599866 0.35405317],[0.49839479 0.34465775],[0.51233071 0.34518287],[0.52379787 0.35061678],[0.51074284 0.35508296],[0.49772456 0.35562849],1663675352329
110,0.2741586094895599,0.32773454477942304,0.30094657713449147,[0.48611534 0.35430953],[0.49776947 0.34439036],[0.51147354 0.34450096],[0.52281213 0.35016608],[0.51011413 0.35401636],[0.49745885 0.35502315],1663675352349
111,0.2876871756310255,0.32011608398456476,0.3039016298077951,[0.48876211 0.35471821],[0.49920776 0.34371072],[0.51319444 0.34377447],[0.52537704 0.3503437 ],[0.51159537 0.3537809 ],[0.49931347 0.35479394],1663675352369
112,0.2726420953913664,0.32129811417322285,0.29697010478229463,[0.48894665 0.35579801],[0.50038004 0.34657973],[0.51353091 0.34684187],[0.52490145 0.35180017],[0.51197237 0.35612535],[0.49971092 0.35687101],1663675352388
113,0.26290140581071253,0.3109116144855985,0.2869065101481555,[0.49004698 0.35638368],[0.50164431 0.34689319],[0.51536554 0.34695095],[0.52682239 0.35222274],[0.51376379 0.35618362],[0.50115132 0.35697055],1663675352411
