,Start_blink,End_blink,Blink_frame,No_of_frames
463,36113,36114,36113,1
464,36180,36181,36180,1
465,36216,36220,36218,4
466,36234,36240,36237,6
467,36253,36255,36253,2
468,36303,36308,36306,5
469,36446,36449,36447,3
470,36499,36504,36501,5
471,36569,36571,36570,2
472,36597,36614,36600,17
473,36655,36662,36657,7
474,36784,36786,36785,2
475,36794,36797,36795,3
476,37096,37099,37097,3
477,37194,37197,37195,3
478,37366,37369,37366,3
479,37463,37465,37463,2
480,37547,37549,37547,2
481,37715,37719,37716,4
482,37921,37923,37921,2
483,37994,38000,37996,6
484,38073,38076,38074,3
485,38092,38095,38093,3
486,38160,38164,38162,4
487,38208,38211,38210,3
488,38240,38244,38241,4
489,38254,38257,38255,3
490,38366,38368,38367,2
491,38405,38409,38406,4
492,38472,38475,38473,3
493,38619,38623,38620,4
494,38631,38634,38632,3
495,38659,38660,38659,1
496,38689,38691,38690,2
497,38701,38703,38702,2
498,38738,38742,38740,4
499,38815,38817,38815,2
500,38869,38873,38871,4
501,38926,38929,38926,3
502,38953,38954,38953,1
503,39122,39123,39122,1
504,39184,39187,39184,3
505,39248,39251,39248,3
506,39266,39269,39266,3
507,39474,39476,39475,2
508,39529,39532,39530,3
509,39595,39597,39596,2
510,39633,39635,39634,2
511,39717,39721,39718,4
512,39765,39767,39765,2
513,39846,39848,39847,2
514,39952,39956,39953,4
515,39986,39989,39987,3
516,40036,40039,40037,3
517,40077,40091,40077,14
518,40141,40144,40142,3
519,40181,40184,40182,3
520,40222,40226,40224,4
521,40267,40270,40269,3
522,40338,40344,40339,6
523,40357,40361,40359,4
524,40451,40455,40453,4
525,40463,40466,40464,3
526,40485,40489,40486,4
527,40540,40543,40541,3
528,40684,40690,40686,6
529,40780,40783,40781,3
530,40840,40843,40841,3
531,40965,40968,40965,3
532,41015,41018,41017,3
533,41161,41165,41162,4
534,41170,41174,41171,4
535,41230,41235,41230,5
536,41336,41339,41338,3
537,41404,41409,41405,5
538,41470,41474,41472,4
539,41943,41945,41943,2
540,42019,42021,42019,2
541,42086,42089,42087,3
542,42341,42343,42342,2
543,42583,42586,42584,3
544,42698,42699,42698,1
545,42707,42711,42708,4
546,42717,42721,42719,4
547,42766,42769,42768,3
548,42903,42906,42903,3
549,42972,42974,42972,2
550,43082,43083,43082,1
551,43124,43127,43125,3
552,43157,43159,43158,2
553,43167,43170,43169,3
554,43180,43183,43182,3
555,43251,43253,43251,2
556,43352,43356,43352,4
557,43487,43490,43489,3
558,43545,43547,43546,2
559,43555,43559,43556,4
560,43717,43721,43718,4
561,43927,43930,43928,3
562,43942,43945,43944,3
563,44156,44159,44157,3
564,44247,44250,44248,3
565,44344,44345,44344,1
566,44478,44480,44479,2
567,44487,44490,44488,3
568,44582,44584,44583,2
569,44650,44654,44651,4
570,44710,44713,44711,3
571,44722,44725,44724,3
572,44827,44830,44828,3
573,44845,44848,44846,3
574,44997,45000,44999,3
575,45022,45023,45022,1
576,45104,45106,45104,2
577,45117,45120,45118,3
578,45238,45240,45239,2
579,45310,45313,45311,3
580,45351,45353,45351,2
581,45361,45364,45362,3
582,45487,45490,45488,3
583,45525,45528,45526,3
584,45558,45561,45560,3
585,45597,45600,45598,3
586,45748,45751,45749,3
587,45894,45896,45895,2
588,45907,45909,45908,2
589,46014,46017,46016,3
590,46038,46041,46039,3
591,46072,46075,46073,3
