,Start_blink,End_blink,Blink_frame,No_of_frames
405,41507,41510,41507,3
406,41576,41582,41577,6
407,41638,41640,41638,2
408,41727,41730,41727,3
409,41738,41741,41738,3
410,42019,42025,42021,6
411,42109,42115,42111,6
412,42334,42338,42334,4
413,42377,42382,42379,5
414,42475,42477,42475,2
415,42583,42604,42583,21
416,42605,42609,42605,4
417,42835,42838,42835,3
418,42897,42903,42897,6
419,42928,42933,42931,5
420,43092,43102,43094,10
421,43165,43168,43165,3
422,43249,43255,43249,6
423,43326,43329,43326,3
424,43656,43659,43656,3
425,43674,43678,43676,4
426,43688,43694,43688,6
427,43704,43710,43705,6
428,43765,43768,43765,3
429,43800,43804,43800,4
430,43870,43876,43872,6
431,43889,43891,43889,2
432,43965,43976,43965,11
433,43977,43981,43977,4
434,44007,44011,44007,4
435,44031,44037,44031,6
436,44054,44059,44057,5
437,44072,44075,44072,3
438,44103,44111,44106,8
439,44142,44146,44142,4
440,44172,44177,44174,5
441,44222,44228,44224,6
442,44268,44274,44270,6
443,44336,44341,44336,5
444,44868,44873,44868,5
445,44937,44945,44939,8
446,45048,45053,45050,5
447,45636,45640,45637,4
448,45764,45767,45764,3
449,45792,45802,45792,10
450,46139,46147,46141,8
451,46410,46415,46410,5
452,46488,46529,46488,41
453,46951,46955,46951,4
454,47023,47031,47025,8
455,47284,47291,47285,7
456,47357,47363,47359,6
457,47438,47443,47438,5
458,47525,47530,47526,5
459,47550,47552,47550,2
460,47688,47694,47690,6
461,47756,47761,47758,5
462,47994,48001,47996,7
463,48102,48127,48102,25
464,48301,48307,48303,6
465,48348,48353,48350,5
466,48362,48365,48362,3
467,48403,48409,48405,6
468,48436,48441,48437,5
469,48522,48527,48522,5
470,48605,48613,48605,8
471,48644,48649,48644,5
472,48660,48664,48660,4
473,48700,48706,48702,6
474,48724,48728,48726,4
475,48772,48775,48772,3
476,48827,48891,48827,64
477,48892,48896,48892,4
478,48949,48952,48949,3
479,48987,48991,48987,4
480,49050,49056,49050,6
481,49076,49081,49076,5
482,49127,49132,49127,5
483,49152,49156,49152,4
484,49162,49167,49164,5
485,49216,49219,49216,3
486,49250,49253,49250,3
487,49312,49316,49312,4
488,49521,49526,49521,5
489,49556,49562,49558,6
490,49567,49572,49569,5
491,49646,49654,49648,8
492,49751,49756,49751,5
493,49849,49855,49850,6
494,49864,49866,49864,2
495,49918,49924,49920,6
496,50002,50006,50004,4
497,50019,50025,50022,6
498,50107,50119,50110,12
499,50161,50166,50161,5
500,50173,50195,50176,22
501,50218,50230,50221,12
502,50288,50294,50291,6
503,50305,50309,50306,4
504,50320,50328,50322,8
505,50374,50383,50377,9
506,50441,50444,50441,3
507,50503,50506,50503,3
508,50544,50550,50544,6
509,50674,50683,50677,9
510,50805,50813,50807,8
511,50852,50866,50852,14
512,50929,50935,50932,6
513,50985,51096,50985,111
514,51120,51129,51123,9
515,51283,51286,51283,3
516,51394,51402,51394,8
517,51535,51539,51535,4
518,51641,51644,51641,3
519,51749,51752,51749,3
520,51816,51843,51817,27
521,51844,51847,51844,3
522,51914,51919,51914,5
523,52022,52029,52022,7
524,52155,52169,52155,14
525,52199,52203,52199,4
526,52283,52294,52283,11
527,52378,52381,52378,3
528,52495,52502,52497,7
529,52538,52541,52538,3
530,52582,52586,52582,4
531,52648,52651,52648,3
532,52668,52671,52668,3
533,52760,52766,52762,6
534,52831,52834,52831,3
535,52895,52900,52895,5
536,52984,52987,52984,3
537,53024,53029,53025,5
538,53064,53067,53064,3
539,53140,53144,53140,4
540,53198,53204,53200,6
541,53235,53240,53237,5
542,53283,53292,53283,9
543,53403,53407,53403,4
544,53441,53446,53441,5
545,53532,53538,53532,6
546,53845,53852,53845,7
547,53896,53901,53896,5
548,53936,53940,53936,4
549,53958,53961,53958,3
550,54022,54026,54022,4
551,54202,54207,54202,5
552,54248,54251,54248,3
553,54424,54427,54424,3
554,54488,54492,54488,4
555,54522,54527,54524,5
556,54590,54593,54590,3
557,54669,54674,54671,5
558,54721,54727,54721,6
559,54755,54760,54758,5
560,54809,54813,54809,4
561,54876,54879,54876,3
562,54961,54964,54961,3
563,54995,55000,54995,5
564,55032,55036,55032,4
565,55055,55058,55055,3
566,55115,55121,55115,6
567,55635,55641,55635,6
568,55668,55671,55668,3
569,55686,55690,55686,4
570,55999,56002,55999,3
571,56013,56019,56014,6
572,56069,56073,56069,4
573,56166,56170,56166,4
574,56176,56179,56176,3
575,56257,56259,56257,2
576,56328,56331,56328,3
577,56359,56364,56362,5
578,56399,56404,56401,5
579,56554,56556,56554,2
580,56753,56759,56756,6
581,56850,56855,56850,5
582,56935,56940,56937,5
583,56982,56984,56982,2
584,57015,57021,57016,6
