FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
90,0.2230474357852982,0.4412157058055573,0.33213157079542777,[0.70402122 0.41772473],[0.71049285 0.41188681],[0.71836561 0.41183287],[0.72611135 0.41703692],[0.71766883 0.41670272],[0.71022522 0.41681919],0.6791349649429321,0.44856715202331543,1663568768095
91,0.32512523836068735,0.46686350470431065,0.395994371532499,[0.7041741  0.41881108],[0.71091032 0.41118878],[0.71868163 0.41096517],[0.72608495 0.41727713],[0.71810442 0.41796637],[0.71071178 0.41844353],0.6804371476173401,0.4479459226131439,1663568768130
92,0.3089954575755298,0.47068070567886416,0.389838081627197,[0.70464671 0.41893125],[0.71127266 0.41145694],[0.71918344 0.41125041],[0.7267884  0.41775528],[0.71843624 0.41804647],[0.71098411 0.41831651],0.6795694828033447,0.44862934947013855,1663568768162
93,0.2451645696141922,0.47926222959462156,0.3622133996044069,[0.70339012 0.41830119],[0.70986658 0.4119859 ],[0.7178573  0.41179857],[0.72576064 0.41754681],[0.71733654 0.41723001],[0.70976859 0.41750383],0.678926944732666,0.4485246241092682,1663568768194
94,0.26680235884172854,0.49001953272986615,0.37841094578579737,[0.70359284 0.41894338],[0.7099191  0.41230071],[0.71772307 0.41219819],[0.72550052 0.41815886],[0.71721244 0.41791937],[0.70983046 0.41825366],0.6794498562812805,0.4482717514038086,1663568768227
95,0.25679604820325497,0.5058959841713995,0.3813460161873272,[0.70343369 0.4194167 ],[0.70969605 0.41273874],[0.71746498 0.41235876],[0.72515821 0.41801789],[0.71688426 0.41791362],[0.70957291 0.4183329 ],0.6784839630126953,0.4526539742946625,1663568768259
96,0.2451504496130857,0.4800809467044239,0.36261569815875483,[0.70256811 0.42126155],[0.70902318 0.41481829],[0.71684265 0.41495404],[0.72440708 0.42048794],[0.71628934 0.42005768],[0.70892256 0.42039821],0.6776576638221741,0.453786700963974,1663568768289
97,0.27160737617232766,0.5077538697939677,0.3896806229831477,[0.70250374 0.4215228 ],[0.70903075 0.4145337 ],[0.71681988 0.41475114],[0.72426277 0.42088392],[0.71610796 0.42037636],[0.70879471 0.42068401],0.6778410077095032,0.4539565443992615,1663568768319
98,0.2449474201457949,0.508309232278558,0.37662832621217646,[0.70205796 0.42126846],[0.70887136 0.41490307],[0.71682072 0.41508994],[0.72438967 0.4205471 ],[0.716187  0.4203257],[0.70865214 0.42057076],0.6773424744606018,0.45326530933380127,1663568768355
99,0.22386325634284904,0.45583680853891173,0.3398500324408804,[0.70279509 0.42026255],[0.70964289 0.41440448],[0.71754092 0.41450223],[0.72510403 0.41939092],[0.71684074 0.41937691],[0.7092731 0.4194622],0.6775569319725037,0.4525742828845978,1663568768385
100,0.2586223290388924,0.46282393450229314,0.3607231317705928,[0.70290273 0.42044467],[0.7096768  0.41429296],[0.7175132  0.41441569],[0.72504687 0.41964099],[0.71679664 0.42008096],[0.70931709 0.42003277],0.6774593591690063,0.4520207941532135,1663568768413
