FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
887,0.36322028060972417,0.35250142260729844,0.35786085160851133,[0.50691128 0.46851695],[0.51463634 0.45870587],[0.52282995 0.45680481],[0.53002542 0.46198747],[0.52224684 0.46570107],[0.51423848 0.4672294 ],0.485240638256073,0.504590630531311,1663315643380
888,0.3269508603904292,0.34434825160069166,0.33564955599556046,[0.50668406 0.46334669],[0.51389581 0.45423087],[0.52194786 0.4527168 ],[0.52938837 0.45776966],[0.52115285 0.46045992],[0.5134303  0.46172032],0.48363086581230164,0.4982428550720215,1663315643413
889,0.3730555642991883,0.40936560963904733,0.3912105869691178,[0.50679225 0.46790615],[0.51499951 0.45787534],[0.52366775 0.45596772],[0.53101259 0.46077424],[0.5231967  0.46560952],[0.51469088 0.46705508],0.48524564504623413,0.5054025053977966,1663315643443
890,0.3817480894409278,0.35211798642701775,0.3669330379339728,[0.5067504  0.46847245],[0.51506627 0.45868313],[0.52359158 0.45715353],[0.53085279 0.46198729],[0.52298635 0.46678495],[0.51455748 0.46807551],0.4856322109699249,0.5047213435173035,1663315643478
891,0.3658349674921403,0.34314023586403475,0.3544876016780875,[0.50628877 0.46616113],[0.51454443 0.45706585],[0.52296746 0.4557181 ],[0.53033721 0.46006125],[0.52250373 0.46485516],[0.51409888 0.46605873],0.48500195145606995,0.5010368824005127,1663315643509
892,0.35124945250680356,0.3728404243005191,0.36204493840366136,[0.50624472 0.46683535],[0.51436222 0.45765612],[0.52258986 0.45607945],[0.52971226 0.46045694],[0.52195823 0.46473092],[0.51379454 0.46604645],0.4852578043937683,0.5026586055755615,1663315643539
893,0.3608517940154127,0.3305151876012957,0.3456834908083542,[0.5064227  0.46776515],[0.51457441 0.45830369],[0.5228256  0.45684409],[0.52998781 0.46121371],[0.52232778 0.46566013],[0.5141387 0.4671149],0.4858143925666809,0.5028439164161682,1663315643570
894,0.3378672334870162,0.34232768943956643,0.34009746146329134,[0.5063349  0.46773437],[0.51416439 0.45904702],[0.52211136 0.45779473],[0.5292902  0.46182829],[0.52176452 0.46570283],[0.51378787 0.46713942],0.4857213497161865,0.5038509368896484,1663315643616
895,0.3328127424588673,0.3363685577154448,0.33459065008715605,[0.50559545 0.46541217],[0.51363009 0.45691428],[0.52180773 0.4561522 ],[0.5291962  0.46062648],[0.52152592 0.46395883],[0.51336569 0.46512729],0.4854867160320282,0.5015771389007568,1663315643650
896,0.3304327080243597,0.36034541955259847,0.3453890637884791,[0.5039627  0.46848017],[0.51132333 0.45949984],[0.51919031 0.45857969],[0.52646124 0.46317133],[0.51897562 0.46586108],[0.5113101 0.4674921],0.48343533277511597,0.5046680569648743,1663315643682
