FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
70,0.20508799572415742,0.2515269582004708,0.2283074769623141,[0.50932229 0.29877308],[0.52803844 0.29383919],[0.54638529 0.29569444],[0.56110322 0.30047315],[0.54152137 0.30521971],[0.52362341 0.30342698],1663674138800
71,0.175238401959943,0.2915080134090523,0.23337320768449765,[0.50917006 0.29503554],[0.52785474 0.29131731],[0.54687566 0.29339129],[0.56179285 0.29755959],[0.54185063 0.30137771],[0.52352554 0.29924017],1663674138824
72,0.2188767592265599,0.27311944416260897,0.24599810169458444,[0.51110107 0.29046673],[0.53052288 0.28494072],[0.5490306  0.28715637],[0.56315076 0.29273087],[0.54344314 0.29722887],[0.52546597 0.29503265],1663674138848
73,0.2209347904584881,0.3305492407986552,0.27574201562857165,[0.51821125 0.28909457],[0.53686821 0.28306526],[0.5551796  0.28525883],[0.56934851 0.29078069],[0.55031115 0.29536638],[0.53263676 0.29363939],1663674138869
74,0.2223164533250318,0.328982188836049,0.2756493210805404,[0.52522403 0.29128075],[0.54378569 0.28572258],[0.56134951 0.28836554],[0.57470638 0.29419562],[0.55605572 0.29793465],[0.53892046 0.29570377],1663674138887
75,0.2024438420206362,0.2084700226517274,0.20545693233618179,[0.52573562 0.29346684],[0.54586363 0.2889514 ],[0.56459242 0.29220021],[0.57866633 0.29857999],[0.55940008 0.30158108],[0.54096377 0.29858574],1663674138905
76,0.20920708695174664,0.25888595017540544,0.23404651856357606,[0.52890623 0.29985148],[0.54886883 0.2955952 ],[0.56743127 0.2992228 ],[0.58075452 0.30529481],[0.56189954 0.30851564],[0.54374409 0.30532694],1663674138926
77,0.20728751423388928,0.2788793737435034,0.24308344398869636,[0.53249389 0.30479217],[0.55245715 0.30083814],[0.57077789 0.30425745],[0.58403343 0.31007406],[0.56549573 0.31350473],[0.54742891 0.31042936],1663674138945
78,0.19189156560920345,0.24662931466020044,0.21926044013470194,[0.53624517 0.30167484],[0.55523133 0.2979337 ],[0.57368249 0.30070311],[0.58770329 0.30561632],[0.56889874 0.30939013],[0.55091435 0.30683124],1663674138964
79,0.18466667909448625,0.2626791809742193,0.22367293003435276,[0.53930122 0.29923841],[0.55822551 0.29608083],[0.576792   0.29885387],[0.59129477 0.30374143],[0.57247466 0.30753186],[0.5542984  0.30482134],1663674138985
80,0.2109729624616575,0.2778033963177999,0.24438817938972868,[0.54050344 0.29854152],[0.56023884 0.29504046],[0.57863086 0.29845703],[0.59193689 0.30381665],[0.57345796 0.30801928],[0.55544907 0.30488086],1663674139005
81,0.200438512107084,0.24366762917812537,0.22205307064260468,[0.54153395 0.29819816],[0.56187421 0.29462117],[0.5809117  0.29815874],[0.59485644 0.30433154],[0.57573462 0.30760583],[0.55702955 0.30421096],1663674139026
82,0.2033264777802933,0.2538667114642524,0.22859659462227283,[0.53943646 0.29850495],[0.56007141 0.29505292],[0.57902652 0.29900587],[0.59239817 0.30500811],[0.57344538 0.30816719],[0.55483592 0.30469444],1663674139047
83,0.20038059554200163,0.28551033534921694,0.2429454654456093,[0.53846389 0.30030525],[0.559654  0.2968114],[0.57929248 0.30028093],[0.59329945 0.30590498],[0.57368594 0.30979621],[0.55439591 0.30652574],1663674139073
84,0.21929299084712067,0.27812171010187475,0.2487073504744977,[0.53545064 0.30148977],[0.55594158 0.29694074],[0.5748148  0.30014595],[0.58826452 0.30638921],[0.56949669 0.31040314],[0.55091882 0.30751774],1663674139097
85,0.218981536137948,0.2805306262254274,0.24975608118168768,[0.53428507 0.30087623],[0.5546934 0.2960726],[0.57365429 0.2993795 ],[0.58711261 0.30586389],[0.56844246 0.30964094],[0.549815   0.30674031],1663674139121
86,0.20307982768189056,0.3059682840292442,0.25452405585556737,[0.53260463 0.30028647],[0.55251771 0.29642493],[0.57133377 0.29957965],[0.58498108 0.30510399],[0.56605446 0.30888581],[0.5476681  0.30592203],1663674139144
87,0.20532881788762097,0.26926186853207695,0.23729534320984896,[0.53131986 0.30142963],[0.55153507 0.2980679 ],[0.5705108  0.30140921],[0.5839321  0.30659628],[0.56488121 0.31075531],[0.54643506 0.30758664],1663674139163
88,0.19784267876841932,0.2613169960694863,0.2295798374189528,[0.53049612 0.30687234],[0.55121636 0.3033911 ],[0.57096732 0.30662784],[0.58509654 0.3121033 ],[0.56587851 0.31624463],[0.54659265 0.31317708],1663674139184
89,0.2049175184306622,0.3159967997758454,0.2604571591032538,[0.52726758 0.31193531],[0.54818362 0.30752149],[0.56823903 0.31081635],[0.58188885 0.31659508],[0.56226653 0.32043087],[0.5430277  0.31740606],1663674139202
90,0.2189883399267609,0.3246019082462545,0.2717951240865077,[0.52845931 0.3112109 ],[0.54976779 0.30608335],[0.56991303 0.30903021],[0.58372319 0.31491295],[0.56427699 0.31980166],[0.54476947 0.31710458],1663674139222
91,0.1918238865586401,0.2707196949470685,0.2312717907528543,[0.53497696 0.30630469],[0.55550843 0.30253372],[0.57540953 0.30568567],[0.58988094 0.31105864],[0.57036012 0.31497473],[0.5509395  0.31206506],1663674139239
