,File_name,MissingFrames_per_min,Blink_per_min,blink_duration_per_min,Perclose_per_min,Avg_EAR,Multiplication of 4 features,F*G,Windowsize 4,,average,,Duration normalize,
58,VIDEO_18112022142303_1668761583866_EAR.csv,2,40,6.45000,0.14333,0.35239,13.0313,0.0505,0.0419,1.0000,0.0293,1.0000,0.230357142857143,0.011635082424898
59,VIDEO_18112022142402_1668761642861_EAR.csv,12,48,4.18750,0.11167,0.38212,8.5766,0.0427,0.0438,0.0000,0.0295,1.0000,0.149553571428571,0.006381378335723
60,VIDEO_18112022142501_1668761701851_EAR.csv,0,29,3.24138,0.05222,0.43931,2.1565,0.0229,0.0410,0.0000,0.0294,0.0000,0.11576354679803,0.002655790397185
61,VIDEO_18112022142600_1668761760854_EAR.csv,0,29,3.65517,0.05889,0.43328,2.7046,0.0255,0.0354,0.0000,0.0294,0.0000,0.130541871921182,0.003330797713578
62,VIDEO_18112022142659_1668761819852_EAR.csv,50,28,3.92857,0.06111,0.44262,2.9754,0.0270,0.0295,0.0000,0.0293,0.0000,0.14030612244898,0.003795181879296
63,VIDEO_18112022142758_1668761878862_EAR.csv,7,26,3.23077,0.04667,0.48236,1.8909,0.0225,0.0245,0.0000,0.0292,0.0000,0.115384615384615,0.00259733716278
64,VIDEO_18112022142857_1668761937859_EAR.csv,0,33,3.48485,0.06389,0.45095,3.3132,0.0288,0.0260,1.0000,0.0292,0.0000,0.124458874458874,0.003585768374409
65,VIDEO_18112022142956_1668761996852_EAR.csv,0,29,3.68966,0.05944,0.46219,2.9398,0.0275,0.0265,1.0000,0.0292,0.0000,0.131773399014778,0.003620410166832
66,VIDEO_18112022143055_1668762055861_EAR.csv,0,35,4.08571,0.07944,0.44948,5.1063,0.0357,0.0286,1.0000,0.0293,1.0000,0.145918367346939,0.00521051006716
67,VIDEO_18112022143154_1668762114857_EAR.csv,0,29,3.51724,0.05667,0.43285,2.5019,0.0245,0.0291,0.0000,0.0292,0.0000,0.125615763546798,0.003081159198104
68,VIDEO_18112022143253_1668762173866_EAR.csv,8,35,3.40000,0.06611,0.44501,3.5010,0.0294,0.0293,1.0000,0.0292,1.0000,0.121428571428571,0.003572433320846
69,VIDEO_18112022143352_1668762232855_EAR.csv,5,47,3.00000,0.07833,0.45514,5.0270,0.0357,0.0313,1.0000,0.0293,1.0000,0.107142857142857,0.00381992428452
70,VIDEO_18112022143451_1668762291862_EAR.csv,0,31,3.32258,0.05722,0.44372,2.6153,0.0254,0.0287,0.0000,0.0293,0.0000,0.118663594470046,0.003012966610522
71,VIDEO_18112022143550_1668762350867_EAR.csv,0,28,3.14286,0.04889,0.44918,1.9325,0.0220,0.0281,0.0000,0.0292,0.0000,0.112244897959184,0.002464875678177
72,VIDEO_18112022143649_1668762409865_EAR.csv,0,28,3.00000,0.04667,0.43196,1.6933,0.0202,0.0258,0.0000,0.0290,0.0000,0.107142857142857,0.002159806942813
73,VIDEO_18112022143749_1668762469024_EAR.csv,11,32,4.00000,0.07111,0.43836,3.9900,0.0312,0.0247,1.0000,0.0291,1.0000,0.142857142857143,0.004453147575615
74,VIDEO_18112022143847_1668762527864_EAR.csv,0,26,3.61538,0.05222,0.42619,2.0921,0.0223,0.0239,0.0000,0.0290,0.0000,0.129120879120879,0.002873816138936
75,VIDEO_18112022143946_1668762586856_EAR.csv,0,41,4.75610,0.10833,0.40907,8.6416,0.0443,0.0295,1.0000,0.0292,1.0000,0.1698606271777,0.007527557859956
76,VIDEO_18112022144045_1668762645861_EAR.csv,0,19,3.47368,0.03667,0.45191,1.0936,0.0166,0.0286,0.0000,0.0290,0.0000,0.12406015037594,0.002055684352381
77,VIDEO_18112022144144_1668762704857_EAR.csv,0,25,4.64000,0.06444,0.42869,3.2047,0.0276,0.0277,0.0000,0.0290,0.0000,0.165714285714286,0.004578162927947
78,VIDEO_18112022144243_1668762763857_EAR.csv,0,16,3.75000,0.03333,0.47259,0.9452,0.0158,0.0261,0.0000,0.0288,0.0000,0.133928571428571,0.002109766002766
79,VIDEO_18112022144342_1668762822858_EAR.csv,0,19,3.68421,0.03889,0.45404,1.2360,0.0177,0.0194,0.0000,0.0287,0.0000,0.131578947368421,0.002323283996706
80,VIDEO_18112022144441_1668762881983_EAR.csv,0,15,3.60000,0.03000,0.46483,0.7530,0.0139,0.0187,0.0000,0.0285,0.0000,0.128571428571429,0.001792931133912
81,VIDEO_18112022144540_1668762940876_EAR.csv,0,19,3.89474,0.04111,0.47799,1.4542,0.0197,0.0168,1.0000,0.0284,0.0000,0.139097744360902,0.002733375470847
82,VIDEO_18112022144639_1668762999856_EAR.csv,0,28,5.35714,0.08333,0.44835,5.6043,0.0374,0.0222,1.0000,0.0285,1.0000,0.191326530612245,0.007148362521023
83,VIDEO_18112022144738_1668763058854_EAR.csv,0,21,3.95238,0.04611,0.43187,1.6529,0.0199,0.0227,0.0000,0.0284,0.0000,0.141156462585034,0.002810995941853
84,VIDEO_18112022144837_1668763117860_EAR.csv,0,24,4.25000,0.05667,0.45262,2.6161,0.0256,0.0256,1.0000,0.0284,0.0000,0.151785714285714,0.003893030578421
85,VIDEO_18112022144937_1668763177011_EAR.csv,0,12,3.41667,0.02278,0.22213,0.2074,0.0051,0.0220,0.0000,0.0281,0.0000,0.12202380952381,0.000617394908384
86,VIDEO_18112022145035_1668763235862_EAR.csv,0,32,4.18750,0.07444,0.42223,4.2120,0.0314,0.0205,1.0000,0.0281,1.0000,0.149553571428571,0.004700897309919
87,VIDEO_18112022145134_1668763294873_EAR.csv,15,31,4.25806,0.07333,0.42686,4.1320,0.0313,0.0234,1.0000,0.0282,1.0000,0.152073732718894,0.004760413256428
88,VIDEO_18112022145233_1668763353858_EAR.csv,0,33,5.09091,0.09333,0.40996,6.4282,0.0383,0.0265,1.0000,0.0283,1.0000,0.181818181818182,0.006956907621244
89,VIDEO_18112022145332_1668763412867_EAR.csv,0,25,4.40000,0.06111,0.44244,2.9742,0.0270,0.0320,0.0000,0.0283,0.0000,0.157142857142857,0.004248808539495
90,VIDEO_18112022145431_1668763471856_EAR.csv,0,26,4.65385,0.06722,0.42831,3.4838,0.0288,0.0313,0.0000,0.0283,1.0000,0.166208791208791,0.004785425465717
