,File_name,MissingFrames_per_min,Blink_per_min,blink_duration_per_min,Perclose_per_min,Avg_EAR,,,,
31,VIDEO_23112022102835_1669179515240_EAR.csv,0,8,4.375000,0.019444,0.466078,0.00906263214962,0.006256987662091,0.007409949279461,TRUE
32,VIDEO_23112022102934_1669179574232_EAR.csv,38,11,7.272727,0.044444,0.465172,0.020674308674003,0.01037762968194,0.007811899564144,TRUE
33,VIDEO_23112022103033_1669179633231_EAR.csv,0,18,3.722222,0.037222,0.468175,0.017426516859884,0.013506651182204,0.008094682425783,TRUE
34,VIDEO_23112022103132_1669179692289_EAR.csv,0,7,2.428571,0.009444,0.491762,0.004644420207145,0.012951969472663,0.007996103505251,FALSE
35,VIDEO_23112022103231_1669179751106_EAR.csv,12,13,3.307692,0.023889,0.499047,0.011921685375292,0.013666732779081,0.008105147446085,TRUE
36,VIDEO_23112022103330_1669179810102_EAR.csv,0,8,4.000000,0.017778,0.555298,0.009871971304704,0.010966148436756,0.008152899442264,TRUE
37,VIDEO_23112022103429_1669179869098_EAR.csv,0,9,4.333333,0.021667,0.486819,0.010547753989421,0.00924645771914,0.008215921930347,TRUE
38,VIDEO_23112022103528_1669179928105_EAR.csv,0,7,4.428571,0.017222,0.462699,0.007968705538405,0.010077529051956,0.008209583048503,FALSE
39,VIDEO_23112022103627_1669179987106_EAR.csv,7,12,4.666667,0.031111,0.457983,0.014248346898223,0.010659194432688,0.008360552144746,TRUE
40,VIDEO_23112022103726_1669180046107_EAR.csv,0,8,2.875000,0.012778,0.474551,0.006063704627142,0.009707127763298,0.008304531473584,FALSE
41,VIDEO_23112022103825_1669180105104_EAR.csv,0,9,2.888889,0.014444,0.465562,0.006724777500861,0.008751383641158,0.008266918283758,FALSE
42,VIDEO_23112022103924_1669180164110_EAR.csv,0,11,2.909091,0.017778,0.471013,0.008373556793808,0.008852596455008,0.008269398249108,TRUE
43,VIDEO_23112022104023_1669180223104_EAR.csv,22,17,3.000000,0.028333,0.468614,0.013277408160887,0.008609861770674,0.008383216656194,TRUE
44,VIDEO_23112022104122_1669180282143_EAR.csv,0,5,3.400000,0.009444,0.467060,0.004411124875757,0.008196716832828,0.008294947949962,FALSE
45,VIDEO_23112022104221_1669180341271_EAR.csv,0,17,3.000000,0.028333,0.496975,0.014080964369839,0.010035763550073,0.008420730915611,TRUE
46,VIDEO_23112022104320_1669180400137_EAR.csv,0,10,3.400000,0.018889,0.457225,0.00863646846826,0.010101491468686,0.008425321076306,TRUE
47,VIDEO_23112022104419_1669180459138_EAR.csv,0,9,15.222222,0.076111,0.430655,0.032777634343501,0.014976548014339,0.008932660936039,TRUE
48,VIDEO_23112022104518_1669180518135_EAR.csv,0,1,3.000000,0.001667,0.472742,0.00078790305111,0.014070742558178,0.008766441387367,FALSE
49,VIDEO_23112022104617_1669180577134_EAR.csv,0,5,3.400000,0.009444,0.439249,0.004148462402532,0.011587617066351,0.00867408180767,FALSE
50,VIDEO_23112022104716_1669180636162_EAR.csv,0,3,2.666667,0.004444,0.465333,0.00206814697275,0.009945536692473,0.008544553673652,FALSE
51,VIDEO_23112022104815_1669180695138_EAR.csv,0,6,3.000000,0.010000,0.485754,0.004857539376505,0.002965512950724,0.008473649552553,FALSE
52,VIDEO_23112022104914_1669180754324_EAR.csv,0,3,4.000000,0.006667,0.470674,0.003137827414236,0.003552994041506,0.008372973663151,FALSE
53,VIDEO_23112022105013_1669180813173_EAR.csv,0,5,14.000000,0.038889,0.437201,0.017002247546893,0.006766440327596,0.008532775031369,TRUE
54,VIDEO_23112022105112_1669180872168_EAR.csv,0,5,3.200000,0.008889,0.195675,0.001739331470164,0.00668423645195,0.00840925787571,FALSE
55,VIDEO_23112022105211_1669180931168_EAR.csv,0,3,4.333333,0.007222,0.485750,0.003508197375197,0.006346900951623,0.008321738938201,FALSE
56,VIDEO_23112022105310_1669180990185_EAR.csv,0,3,3.000000,0.005000,0.484667,0.002423337351404,0.006168278435914,0.008218258208608,FALSE
57,VIDEO_23112022105409_1669181049172_EAR.csv,0,4,3.250000,0.007222,0.494859,0.003573981848682,0.002811212011361,0.008138184478265,FALSE
