FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
73,0.2984993554412609,0.2726644522444489,0.28558190384285487,[0.59844589 0.46402559],[0.62690765 0.45267886],[0.65249145 0.45706838],[0.66728389 0.46712494],[0.64990324 0.47598702],[0.62409139 0.47454119]
74,0.31462069089090067,0.2675510309045419,0.29108586089772126,[0.59944969 0.46332133],[0.62734079 0.45105392],[0.65233052 0.45540154],[0.66710061 0.46602583],[0.64956242 0.47511062],[0.62447631 0.4735727 ]
75,0.3245464594931368,0.2742966519960328,0.29942155574458484,[0.60011154 0.46345463],[0.62763095 0.45061702],[0.65218478 0.45487434],[0.66670412 0.46562347],[0.64935452 0.4748784 ],[0.62472945 0.47347802]
76,0.3333385043748138,0.28926123789302305,0.31129987113391844,[0.59862524 0.4641386 ],[0.62691224 0.45042965],[0.65247756 0.45451275],[0.66708446 0.46552742],[0.6497426  0.47570461],[0.6241622  0.47455537]
77,0.3386490634994052,0.30178762345662946,0.32021834347801736,[0.59861159 0.46306756],[0.62709856 0.44883928],[0.65305656 0.45290619],[0.66774356 0.46403742],[0.65013653 0.47468448],[0.62435597 0.47354189]
78,0.3406324307313269,0.29253073534086227,0.31658158303609457,[0.5985952  0.46238124],[0.62702036 0.44802621],[0.6528275  0.45221815],[0.66743052 0.46323806],[0.64988762 0.4739618 ],[0.62417269 0.47282043]
79,0.3518940456262379,0.2917321881426119,0.32181311688442493,[0.59940964 0.46285194],[0.6275019  0.44766569],[0.65311104 0.45161283],[0.6676687  0.46306565],[0.65006429 0.47398269],[0.62465841 0.47297019]
80,0.3526766296086281,0.29752792972156206,0.3251022796650951,[0.59931368 0.46302545],[0.62746239 0.44805604],[0.6530472  0.45230782],[0.66779035 0.46360803],[0.64996451 0.47473097],[0.6244598  0.47354776]
81,0.3533765839119426,0.29872964368309685,0.3260531137975197,[0.5994404  0.46301606],[0.62764448 0.44772059],[0.65312517 0.45176318],[0.66757047 0.46310103],[0.64974689 0.47414631],[0.62439805 0.47302777]
82,0.35124699320854047,0.31651752957610846,0.33388226139232446,[0.5983274  0.46287411],[0.62756234 0.44701552],[0.65396714 0.45082343],[0.66852921 0.46247163],[0.65053153 0.47387087],[0.62440169 0.47283787]
