FN,EAR_L,EAR_R,EAR,MAR,MOEAR,MINUTE,TIMESTAMP
803,0.04367845784027161,0.04016031982707005,0.04191938883367083,2.6302488114765117,62.74539979370649,1,1663215605295
804,0.0339378701582818,0.042624299819268525,0.038281084988775166,2.699897360582431,70.52823506371617,1,1663215605316
805,0.03359617443389476,0.04891263833202168,0.04125440638295822,2.7312898385567705,66.20601477579469,1,1663215605341
806,0.03559180775954482,0.053741307353783935,0.04466655755666438,2.6359662175690763,59.01431320793117,1,1663215605358
807,0.030453191388389363,0.046403286807911746,0.03842823909815055,2.8117533470173046,73.16893547569883,1,1663215605379
808,0.03829323857608466,0.0776501696942731,0.05797170413517888,3.0288224831214703,52.246566291355485,1,1663215605398
809,0.0417656182564568,0.0375832867682746,0.0396744525123657,2.863241163940665,72.16838500917568,1,1663215605427
810,0.0335828124362978,0.042817442809925256,0.03820012762311153,2.8224973164796276,73.88711745486377,1,1663215605448
811,0.032998050333268344,0.0498844681262726,0.041441259229770475,2.7131362294679815,65.46944470063123,1,1663215605466
812,0.040658109240766405,0.051253617989126754,0.04595586361494658,2.7673879211286976,60.21838571713053,1,1663215605489
813,0.035779080114513744,0.04374392908465312,0.03976150459958343,3.1660818923138283,79.62681302424855,1,1663215605505
814,0.03626467909648208,0.045001889246257795,0.04063328417136994,3.0754109349792365,75.68698907055511,1,1663215605525
815,0.040195881902550204,0.04679835985494,0.043497120878745105,2.8915576397789593,66.47698931245633,1,1663215605549
816,0.03275734761947035,0.06275853756265048,0.04775794259106042,2.764107260727817,57.877435893673045,1,1663215605575
817,0.042571666705183114,0.05085891295122557,0.046715289828204346,2.8983955475203573,62.043831006490976,1,1663215605596
818,0.043166439794118425,0.053888698955580266,0.048527569374849346,2.7846469225580934,57.382781755422265,1,1663215605615
819,0.03382768041587205,0.04733228926376732,0.040579984839819686,3.031401870530202,74.7018975609768,1,1663215605637
820,0.0318320540167038,0.050133426760332715,0.040982740388518256,2.749739922573047,67.09507213293661,1,1663215605656
821,0.04080524008926141,0.0468721717904616,0.04383870593986151,2.883645273622837,65.77852178343626,1,1663215605681
822,0.045351707396190793,0.0456576849383993,0.04550469616729505,2.99620260646223,65.84381083321348,1,1663215605709
823,0.04110943546938963,0.042811222787814504,0.041960329128602064,3.0661622390579617,73.0728834290274,1,1663215605729
824,0.03843234143679188,0.05193029201235956,0.04518131672457572,2.9881964451919596,66.13787870344588,1,1663215605748
825,0.03593474858933653,0.04266902108616225,0.03930188483774939,2.9528362386752196,75.13217879665216,1,1663215605767
826,0.03381735376801994,0.03859526726887484,0.03620631051844739,2.9784872350692493,82.26431228201746,1,1663215605789
827,0.03359069536418705,0.057433140343053746,0.045511917853620396,3.1662452891373203,69.56958613172243,1,1663215605811
828,0.03165891288919496,0.04560651516684405,0.0386327140280195,2.937165445842554,76.02793434891188,1,1663215605837
829,0.036023863992516544,0.0660233539376364,0.051023608965076475,3.07032702091719,60.174634511225975,1,1663215605861
830,0.03480788164046878,0.06058177331085594,0.04769482747566236,3.033241142811546,63.596857423571635,1,1663215605881
831,0.03980220550216409,0.05473139821376954,0.04726680185796681,2.8603629036879252,60.51526211320793,1,1663215605899
832,0.03757707802049894,0.04850631416461279,0.04304169609255587,3.0509842451858247,70.88438705168724,1,1663215605921
833,0.03835336861653438,0.05318605020171672,0.045769709409125545,2.594946341699705,56.69571371983248,1,1663215605944
834,0.03553889713014757,0.05294790999399719,0.04424340356207238,2.8343125869537844,64.06181167724394,1,1663215605965
835,0.038956705197177796,0.05320796815735355,0.046082336677265676,2.6444427060738067,57.385169606176234,1,1663215605985
836,0.03866792346200632,0.04534210589639596,0.04200501467920114,2.7786578300514395,66.15062156917415,1,1663215606010
837,0.03579554489904111,0.0478214457739771,0.041808495336509106,2.942513971816634,70.3807670697753,1,1663215606029
838,0.032934057235358444,0.05862400605098673,0.04577903164317258,3.019941518597913,65.96778940491858,1,1663215606049
839,0.03850990040304323,0.062441433559863466,0.05047566698145335,2.921503958396707,57.87945228084211,1,1663215606072
840,0.033339506203125424,0.04918973904855782,0.04126462262584162,2.9993626748452065,72.68605609316492,1,1663215606091
841,0.04225176354468748,0.04928266185137351,0.045767212698030496,2.983609330819292,65.19097744721705,1,1663215606114
842,0.048316677794738784,0.052343037426495806,0.0503298576106173,3.00185602646179,59.64364234220555,1,1663215606133
843,0.04060259860107635,0.049181114855645386,0.044891856728360865,2.8396801618308887,63.25601943830702,1,1663215606154
