FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
84,0.42332048180780274,0.3212409559114107,0.37228071885960673,[0.5890888  0.53639716],[0.61214817 0.5170933 ],[0.63436866 0.51908267],[0.64623702 0.53077531],[0.63082075 0.54209691],[0.60955119 0.54229128]
85,0.4301064703289545,0.3211890989372033,0.3756477846330789,[0.58998466 0.53663051],[0.61251307 0.51675779],[0.63448906 0.5183363 ],[0.64631116 0.53016567],[0.63076651 0.54153007],[0.60984671 0.54189706]
86,0.4251852132388865,0.3364858791575428,0.38083554619821464,[0.59001863 0.53780282],[0.61243105 0.51727033],[0.6344763  0.51847363],[0.64649385 0.53076178],[0.63054776 0.54160917],[0.60962069 0.54204136]
87,0.4289068866743935,0.3161823124728059,0.3725445995735997,[0.59039336 0.53800708],[0.61262953 0.51737094],[0.63471144 0.51867121],[0.64675444 0.53118145],[0.6309284  0.54184449],[0.61002678 0.54245681]
88,0.4301590005049302,0.3149507963633566,0.3725548984341434,[0.5905351  0.53727478],[0.61278671 0.51754397],[0.63451028 0.5192399 ],[0.64636791 0.53109723],[0.63103426 0.54217589],[0.61035234 0.54255497]
89,0.42781673509448825,0.3239666905757587,0.37589171283512346,[0.59054488 0.53808761],[0.61271256 0.51756901],[0.63475859 0.51877314],[0.64686495 0.53115362],[0.6310668  0.54196763],[0.61028612 0.54251802]
90,0.4344264276834837,0.3240533477722355,0.3792398877278596,[0.59063697 0.53808653],[0.61275423 0.51752836],[0.63456529 0.51894432],[0.64668083 0.53134334],[0.63074726 0.54234105],[0.61004519 0.54272199]
91,0.44163795113888676,0.3256349708928575,0.3836364610158721,[0.59033376 0.53742635],[0.61282617 0.51747054],[0.63471067 0.51943797],[0.64647269 0.53159577],[0.63092035 0.54312229],[0.61005008 0.54318833]
92,0.4267560720920446,0.32653869539183716,0.37664738374194084,[0.59036231 0.53839386],[0.61278087 0.51773292],[0.63484246 0.51905584],[0.64689976 0.53130168],[0.63102096 0.54225594],[0.61011881 0.54271233]
93,0.4108243789953986,0.31544920407942817,0.3631367915374134,[0.59078711 0.5377295 ],[0.61323661 0.51851338],[0.635144   0.52005601],[0.6469996  0.53136247],[0.63158596 0.54209363],[0.61069125 0.54253817]
94,0.40351494908773816,0.3076327704307898,0.355573859759264,[0.59059978 0.53728771],[0.61343509 0.51900321],[0.63511145 0.52095956],[0.64670336 0.53173906],[0.63177061 0.54238552],[0.61082125 0.54267263]
95,0.3766321105198661,0.2669848677849392,0.3218084891524027,[0.59053409 0.53800297],[0.61307454 0.52136374],[0.63417202 0.52284157],[0.64583802 0.53254676],[0.63100374 0.54260308],[0.61039692 0.54304588]
96,0.1812659387817419,0.12672616936861592,0.1539960540751789,[0.59281093 0.54432142],[0.61369199 0.53722835],[0.63396478 0.53828239],[0.64821839 0.54385549],[0.63236266 0.54766715],[0.61197948 0.54765582]
97,0.06085488137519206,0.09205315877323689,0.07645402007421448,[0.59252018 0.54586041],[0.61243451 0.54597539],[0.63274634 0.5486477 ],[0.64884472 0.54989243],[0.63116074 0.55105305],[0.61042333 0.54942358]
98,0.04771574806911201,0.04972699696732385,0.048721372518217926,[0.59378922 0.54665297],[0.61348629 0.5486629 ],[0.63422483 0.55156565],[0.65115905 0.55188233],[0.63254523 0.55330414],[0.61137795 0.55090857]
99,0.03707368121962464,0.046745774260373796,0.04190972773999922,[0.59389675 0.546332  ],[0.61354101 0.54926491],[0.63418317 0.55234754],[0.65138263 0.55213284],[0.63251781 0.55301887],[0.61134213 0.55043006]
100,0.04016338715116979,0.05515970859656564,0.04766154787386771,[0.59461224 0.54701799],[0.6147747 0.54977  ],[0.63600117 0.55272359],[0.65327352 0.55233419],[0.6341576  0.55373651],[0.61250788 0.55109936]
101,0.04120406618449118,0.03460964773813392,0.037906856961312546,[0.59506184 0.5467639 ],[0.61478597 0.54989308],[0.63556892 0.55319321],[0.6526373  0.55307329],[0.63359618 0.55397922],[0.61235988 0.55095804]
