,Start_blink,End_blink,Blink_frame,No_of_frames
584,114221,114222,114221,1
585,114238,114239,114238,1
586,114350,114352,114350,2
587,114501,114501,114501,0
588,114549,114559,114549,10
589,114594,114594,114594,0
590,114612,114615,114614,3
591,115160,115162,115160,2
592,115317,115318,115317,1
593,115331,115336,115333,5
594,116432,116433,116432,1
595,116864,116875,116864,11
596,117051,117054,117051,3
597,117173,117178,117173,5
598,117220,117226,117222,6
599,117264,117265,117264,1
600,117441,117442,117441,1
601,117486,117486,117486,0
602,117623,117624,117623,1
603,117686,117693,117689,7
604,117794,117799,117797,5
605,118028,118055,118030,27
606,118090,118090,118090,0
607,118279,118282,118279,3
608,118350,118355,118353,5
609,118651,118652,118651,1
610,118948,118948,118948,0
611,119622,119627,119625,5
612,119763,119768,119766,5
613,119899,119905,119899,6
614,120102,120103,120102,1
615,120232,120237,120235,5
616,120258,120260,120258,2
617,120394,120396,120394,2
618,120613,120624,120615,11
619,120768,120769,120768,1
620,120890,120893,120890,3
621,120902,120905,120902,3
622,121283,121285,121283,2
623,121618,121619,121618,1
624,122039,122042,122041,3
625,122161,122162,122161,1
626,122266,122268,122266,2
627,122496,122497,122496,1
628,122776,122780,122776,4
629,122810,122828,122810,18
630,122903,122929,122903,26
631,123089,123090,123089,1
632,123117,123128,123117,11
633,123504,123506,123504,2
634,123591,123594,123591,3
635,123965,123967,123965,2
636,124016,124017,124016,1
637,124153,124154,124153,1
638,124528,124533,124531,5
639,124657,124662,124660,5
640,124920,124924,124922,4
641,125065,125070,125067,5
642,125204,125207,125204,3
643,125347,125348,125347,1
644,125363,125368,125366,5
645,125478,125479,125478,1
646,125578,125578,125578,0
647,125733,125733,125733,0
648,125943,125944,125943,1
649,126325,126325,126325,0
650,126497,126497,126497,0
651,126649,126650,126649,1
652,127131,127137,127131,6
653,127253,127262,127253,9
654,127328,127335,127331,7
655,127359,127362,127359,3
656,127395,127398,127397,3
657,127415,127418,127415,3
658,127510,127516,127513,6
659,127900,127916,127902,16
660,127929,127931,127929,2
661,127967,127969,127968,2
662,128002,128007,128004,5
663,128116,128117,128116,1
664,128176,128180,128179,4
665,128194,128196,128194,2
