FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
68,0.21429310464895193,0.3047328781812001,0.259512991415076,[0.4415831  0.35822651],[0.4612982  0.34842968],[0.48191559 0.34832776],[0.49771217 0.3530162 ],[0.4792468  0.35987365],[0.45903909 0.36052984],0.3825013041496277,0.42085883021354675,1663311798400
69,0.20327036624452585,0.30116669254464573,0.2522185293945858,[0.44388327 0.35496107],[0.46364513 0.34593672],[0.4842881  0.34597021],[0.49980763 0.35001704],[0.48161092 0.35684595],[0.4614585 0.357353 ],0.38073867559432983,0.41614076495170593,1663311798416
70,0.15423308769867755,0.3315778961146264,0.24290549190665198,[0.44169202 0.35327274],[0.45970654 0.34662497],[0.47980911 0.34620142],[0.49578691 0.3481124 ],[0.47787228 0.35424447],[0.45861438 0.35504365],0.38186579942703247,0.4175663888454437,1663311798433
71,0.17262189988113075,0.31571572699215245,0.2441688134366416,[0.44429538 0.35318929],[0.46212119 0.34543261],[0.48227581 0.34490201],[0.49846217 0.34775603],[0.48012763 0.35396332],[0.46092322 0.35483876],0.3831865191459656,0.4156075716018677,1663311798449
72,0.12379945613001606,0.2532893721521175,0.18854441414106676,[0.44753775 0.34999043],[0.46586958 0.34519833],[0.48628658 0.34498018],[0.50288981 0.34629628],[0.48403761 0.35149604],[0.46440712 0.35188276],0.3850086033344269,0.4102829098701477,1663311798466
73,0.13179460834666615,0.17970165533405644,0.1557481318403613,[0.44943583 0.35083354],[0.46867925 0.3464396 ],[0.48950714 0.34603706],[0.5057978  0.34654084],[0.48751873 0.35323533],[0.46719715 0.35372189],0.3850792646408081,0.4086274802684784,1663311798482
74,0.11174035373784208,0.28283663695894856,0.19728849534839532,[0.44558528 0.34611472],[0.46454173 0.34148926],[0.48430786 0.34095368],[0.50092989 0.34161064],[0.48230976 0.34661475],[0.46265981 0.34761259],0.38305747509002686,0.4043840169906616,1663311798499
75,0.15138431654401327,0.2506990478373022,0.2010416821906577,[0.44576147 0.34363997],[0.46439674 0.33665231],[0.48421219 0.33549467],[0.50052452 0.33781347],[0.48307157 0.34357607],[0.46358651 0.34512627],0.38633430004119873,0.3994118571281433,1663311798515
76,0.16679395036573844,0.26988954167804036,0.21834174602188938,[0.44504204 0.34251329],[0.4650577  0.33385736],[0.4857398  0.33259574],[0.50129533 0.33616048],[0.48401114 0.34175214],[0.46395233 0.34335983],0.38613224029541016,0.4015658497810364,1663311798531
77,0.16144956697257482,0.30326827815549107,0.23235892256403295,[0.44459027 0.34403172],[0.46463951 0.33511269],[0.48562047 0.33407322],[0.5018186  0.33802617],[0.48396763 0.34296837],[0.46376315 0.34460536],0.38431209325790405,0.40198245644569397,1663311798547
78,0.17103391134456444,0.31525645621600734,0.24314518378028588,[0.44569084 0.34714043],[0.46693748 0.33816761],[0.48865318 0.33729973],[0.50477952 0.34147426],[0.48661336 0.34712076],[0.46555513 0.34834862],0.3839903473854065,0.403424471616745,1663311798563
79,0.17359125536607717,0.3233047696247841,0.24844801249543064,[0.4437066  0.35185593],[0.46502253 0.34221452],[0.48711967 0.34067172],[0.5035525  0.34447697],[0.48541853 0.35085738],[0.46396682 0.35276991],0.3811417818069458,0.40972521901130676,1663311798580
80,0.1731171588507358,0.2974026815744035,0.23525992021256967,[0.44183555 0.35336766],[0.46218541 0.3443459 ],[0.4838447  0.34308681],[0.5004288  0.34666622],[0.48248827 0.35304925],[0.46153519 0.35469037],0.3803216814994812,0.4123989939689636,1663311798598
81,0.18659050123788204,0.27620538550133533,0.23139794336960867,[0.44204697 0.35193247],[0.46188557 0.34197497],[0.48301181 0.34078529],[0.49926418 0.34478465],[0.48139894 0.35113809],[0.46097884 0.35297835],0.38188081979751587,0.4122435748577118,1663311798616
82,0.18586886537207173,0.2715915594738577,0.2287302124229647,[0.44036052 0.35100481],[0.46033183 0.34153995],[0.48136744 0.34063527],[0.49761334 0.3444283 ],[0.4796412  0.35089529],[0.45917103 0.3524974 ],0.382660448551178,0.41170915961265564,1663311798632
83,0.1877935017699809,0.24556844024153474,0.2166809710057578,[0.44112709 0.35111016],[0.46006018 0.3417806 ],[0.48049596 0.34051374],[0.4965294  0.34374127],[0.47946909 0.35063261],[0.45973727 0.35259658],0.3831755816936493,0.41039109230041504,1663311798649
84,0.18492730409590036,0.26666540634152036,0.22579635521871036,[0.44144249 0.34951606],[0.46070877 0.33974236],[0.48132491 0.33832154],[0.49739298 0.34180975],[0.48024094 0.34835127],[0.46034837 0.35053712],0.3858695328235626,0.4087330102920532,1663311798665
85,0.1927995331777245,0.2808386355126211,0.2368190843451728,[0.44409293 0.34242418],[0.46396878 0.33269206],[0.48484674 0.33137602],[0.50042862 0.33521968],[0.48245981 0.34194884],[0.46253112 0.34365922],0.38400372862815857,0.400229275226593,1663311798682
86,0.18905728731953314,0.30979634788021215,0.24942681759987265,[0.44700721 0.3413541 ],[0.46734816 0.33145946],[0.48848444 0.33040249],[0.50369829 0.33453977],[0.48629776 0.34075895],[0.46605194 0.34238809],0.38780319690704346,0.3976418077945709,1663311798699
87,0.2245647523262116,0.2802172543398938,0.2523910033330527,[0.44842446 0.34233478],[0.46991119 0.33258092],[0.49120915 0.33281839],[0.50627327 0.33821276],[0.48741817 0.34512749],[0.4664661  0.34529009],0.3867452144622803,0.3978460431098938,1663311798716
88,0.19214459595197472,0.3170638074397576,0.2546042016958662,[0.44584039 0.34578863],[0.4654046  0.33612797],[0.48626471 0.33481055],[0.50247747 0.33881822],[0.48480517 0.34559685],[0.46438631 0.34712556],0.38355717062950134,0.4029334485530853,1663311798735
89,0.18416253682069905,0.3387911989148872,0.2614768678677931,[0.44317195 0.34363404],[0.46307024 0.33435968],[0.4838973  0.33370367],[0.49954981 0.33740413],[0.48220956 0.34357497],[0.4620102  0.34518513],0.38187292218208313,0.402875691652298,1663311798751
90,0.1894645765009321,0.3011228245037689,0.2452937005023505,[0.44696426 0.34093064],[0.46696231 0.33229256],[0.48756975 0.33201435],[0.50280815 0.33601913],[0.48546538 0.34207785],[0.46548462 0.34315389],0.3851190209388733,0.3991585075855255,1663311798768
