FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
94,0.3442422093547388,0.2848902602575239,0.31456623480613133,[0.62306815 0.44063312],[0.64595765 0.42355567],[0.66805255 0.42384201],[0.68189204 0.43289474],[0.66658217 0.44303125],[0.64487273 0.44513118]
95,0.35022228462677524,0.28823204203448266,0.31922716333062895,[0.62266934 0.44110939],[0.64607507 0.42368865],[0.6685257  0.42431104],[0.68226075 0.43389237],[0.66696596 0.44403896],[0.64495319 0.44591635]
96,0.3462168371055558,0.2754036782798237,0.3108102576926898,[0.62326717 0.44147518],[0.64641988 0.42470533],[0.6687237  0.42542568],[0.68254697 0.43483961],[0.66745991 0.44480509],[0.64553654 0.44657061]
97,0.3475257413085674,0.2852004659163062,0.3163631036124368,[0.62363255 0.44173366],[0.64653593 0.42504439],[0.66857094 0.42554978],[0.68246186 0.43431768],[0.66700363 0.44498223],[0.6452657  0.44672465]
98,0.3620055622086867,0.26922991412788344,0.3156177381682851,[0.62525523 0.44375542],[0.6482805  0.42623734],[0.67039847 0.42715782],[0.68379694 0.43637425],[0.66795033 0.44731963],[0.6463365 0.4485634]
99,0.3752908146846782,0.2601639862022759,0.317727400443477,[0.62559354 0.44417956],[0.64870298 0.42654321],[0.67070729 0.42801234],[0.68389374 0.43790364],[0.66805178 0.44873914],[0.64648598 0.4495523 ]
100,0.36234200152009216,0.27134985037651804,0.3168459259483051,[0.62586123 0.44384289],[0.6485433  0.42723152],[0.67017794 0.4283694 ],[0.68365186 0.43738061],[0.6680513 0.4481934],[0.64667934 0.44935638]
101,0.36308337675965574,0.26603125851690146,0.3145573176382786,[0.6264559  0.44441393],[0.64910263 0.42733553],[0.67080003 0.42822355],[0.6841954  0.43727905],[0.66863656 0.4481461 ],[0.64731961 0.44947156]
102,0.3671580114642236,0.25778354462068287,0.31247077804245327,[0.62651819 0.44449475],[0.64938724 0.42707494],[0.67128354 0.42814445],[0.68447077 0.43760481],[0.66886169 0.4483467 ],[0.64742088 0.44949719]
103,0.363409986406826,0.25835521983263493,0.3108826031197305,[0.62670779 0.44455788],[0.6491549  0.42762217],[0.67061973 0.42846251],[0.68362129 0.43743098],[0.66830361 0.44815129],[0.64729369 0.44940719]
104,0.36337219858923353,0.2552284665709376,0.3093003325800856,[0.62624234 0.4433893 ],[0.64865983 0.42679614],[0.66988534 0.42791981],[0.68298566 0.43695226],[0.66740584 0.44757062],[0.64650398 0.44838452]
105,0.3590693024316403,0.251159086025929,0.30511419422878466,[0.62598211 0.44336373],[0.64824218 0.42664403],[0.66949195 0.42736393],[0.68270034 0.43630376],[0.66737443 0.44683653],[0.64648926 0.4480308 ]
106,0.35428229918228377,0.24716593440888576,0.30072411679558475,[0.62527096 0.4440203 ],[0.64781088 0.42692596],[0.66945827 0.42735532],[0.68279612 0.43614545],[0.66759551 0.44681901],[0.6463533  0.44846451]
107,0.27551637660374934,0.10894855597898495,0.19223246629136714,[0.62557906 0.4463501 ],[0.64687681 0.43409991],[0.66751027 0.434423  ],[0.68156004 0.44085851],[0.66627795 0.44903368],[0.64555633 0.45037931]
108,0.25929366311937985,0.11750513291107978,0.1883993980152298,[0.62453866 0.45341176],[0.64649516 0.44276321],[0.66747469 0.44368416],[0.68260491 0.44958282],[0.66635478 0.45779082],[0.644732  0.4586927]
109,0.2322313857616966,0.1704945209672589,0.20136295336447774,[0.62427491 0.45237964],[0.6462     0.44222882],[0.6671741  0.44259647],[0.68273759 0.44807154],[0.66633636 0.45538038],[0.64478505 0.45657524]
110,0.2434699375837299,0.1919571243750077,0.2177135309793688,[0.62422943 0.45027995],[0.64569807 0.43922144],[0.66631603 0.43935651],[0.6811952  0.44510955],[0.66557407 0.45232713],[0.6446209  0.45404345]
111,0.2758023821030743,0.2377205903998157,0.256761486251445,[0.62400293 0.4452647 ],[0.64591557 0.43260139],[0.66684222 0.43257087],[0.68117189 0.43878028],[0.66589451 0.4474723 ],[0.64483744 0.44937211]
112,0.329130896218608,0.24138609329529917,0.2852584947569536,[0.62469137 0.44440475],[0.6467095  0.42873082],[0.66795504 0.42889342],[0.68163997 0.43667418],[0.6664319  0.44673276],[0.6454469  0.44861743]
113,0.3437697095997539,0.24814858338874426,0.2959591464942491,[0.62324679 0.44531593],[0.64581692 0.42867452],[0.66734487 0.42892098],[0.68087274 0.43720183],[0.66556001 0.44784188],[0.64425385 0.44962233]
114,0.3571480863248481,0.2436815465127086,0.3004148164187784,[0.62373483 0.44503203],[0.64624619 0.42751184],[0.66798019 0.42762935],[0.68138337 0.43634886],[0.66616893 0.44737113],[0.64484179 0.44928452]
115,0.3531180435959956,0.25584369020817627,0.3044808669020859,[0.62312782 0.44365653],[0.64571589 0.42669657],[0.6674602  0.42712778],[0.6810627  0.43589079],[0.66548282 0.44673488],[0.64411056 0.44821185]
116,0.3615526374932461,0.2512520751904584,0.30640235634185226,[0.62322134 0.44439802],[0.64586997 0.42700511],[0.6677323 0.4273321],[0.68119001 0.43615964],[0.66578382 0.44746462],[0.64434958 0.44906485]
117,0.36911210192730937,0.2604099916693251,0.31476104679831723,[0.6227051  0.44475487],[0.64555329 0.42690346],[0.66740489 0.42753416],[0.68078464 0.43660876],[0.6651758  0.44801313],[0.64369363 0.44952261]
118,0.3614671221453703,0.2590878764858972,0.31027749931563375,[0.62256539 0.44478256],[0.64544243 0.42718545],[0.66729099 0.42777663],[0.68066669 0.4368279 ],[0.66507369 0.44778508],[0.64361316 0.4493745 ]
119,0.36762516872977175,0.2652439489847666,0.3164345588572692,[0.62210041 0.4452261 ],[0.64514494 0.42708099],[0.66722858 0.42769021],[0.68078625 0.43702132],[0.66491288 0.44833851],[0.64321321 0.44978967]
120,0.3589410158965937,0.26500163233150537,0.31197132411404954,[0.62187099 0.44570282],[0.64489967 0.42812616],[0.66682553 0.42861602],[0.68039048 0.43779296],[0.66472757 0.44872302],[0.64307559 0.45022696]
121,0.344207548961424,0.262077598578234,0.303142573769829,[0.62209505 0.44469437],[0.64484346 0.42773655],[0.66672641 0.42807928],[0.68038696 0.43659592],[0.66475534 0.44724244],[0.64324266 0.44892636]
122,0.34948750686190566,0.2739393191026501,0.3117134129822779,[0.62165487 0.4441312 ],[0.64473504 0.42727393],[0.66684335 0.42769128],[0.68042201 0.43621436],[0.6649195  0.44732985],[0.64314753 0.44893107]
123,0.3573457086549676,0.27773509153583015,0.31754040009539886,[0.6214447 0.4449591],[0.64456171 0.42767712],[0.66673374 0.42831105],[0.68022102 0.43724737],[0.66479623 0.44834068],[0.64306033 0.44987023]
