FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
56,0.3328442307267776,0.2908798197019523,0.31186202521436496,[0.59086317 0.4663828 ],[0.61964202 0.45160714],[0.64574367 0.45491436],[0.66068608 0.46573338],[0.64310724 0.47660261],[0.61703873 0.4761036 ]
57,0.3480923660858605,0.2817177887332628,0.31490507740956164,[0.59032583 0.46826378],[0.61963916 0.45233214],[0.64618248 0.45553297],[0.66088247 0.46663037],[0.64340675 0.4785234 ],[0.61690056 0.4781636 ]
58,0.3423097647449498,0.29962761010534866,0.3209686874251492,[0.59137899 0.46765703],[0.62004697 0.45195204],[0.64596325 0.45512414],[0.66064429 0.46604753],[0.64300704 0.4772394 ],[0.61720747 0.47691226]
59,0.33741519855826574,0.27465633846338594,0.3060357685108258,[0.59098876 0.46665835],[0.6198796  0.45199174],[0.64599591 0.45565763],[0.66082883 0.466703  ],[0.64312977 0.47759908],[0.6170848 0.4768374]
60,0.3545119135780742,0.28798052389266077,0.3212462187353675,[0.59115064 0.46761355],[0.62016755 0.45210314],[0.64631951 0.45589781],[0.66092372 0.46754852],[0.64329225 0.47900081],[0.61722863 0.4781079 ]
61,0.3309596692602696,0.28210362893886565,0.30653164909956765,[0.59156203 0.4679715 ],[0.62062293 0.452829  ],[0.64695841 0.45607185],[0.66167885 0.46719599],[0.64396089 0.47780284],[0.61780095 0.47714356]
62,0.34520476909495107,0.2874457534098448,0.3163252612523979,[0.59185338 0.46542984],[0.62051564 0.45072341],[0.64673197 0.45469075],[0.66138458 0.46589506],[0.64381713 0.47703734],[0.61775392 0.47604343]
63,0.33289488712795756,0.27596536004066596,0.30443012358431176,[0.59289008 0.46472904],[0.6210323  0.45097575],[0.64668632 0.45476657],[0.66154218 0.46548706],[0.64397418 0.47603187],[0.61836159 0.47510147]
64,0.3174853668583657,0.2459794925765505,0.2817324297174581,[0.59358478 0.464789  ],[0.62165695 0.45213059],[0.64681095 0.45622203],[0.66171825 0.46685344],[0.64410794 0.47630119],[0.61885947 0.47498232]
65,0.2921310560043922,0.2114737354546249,0.2518023957295086,[0.59421128 0.46561831],[0.62190437 0.45465654],[0.64657652 0.45873997],[0.66172981 0.46874779],[0.64382941 0.47710717],[0.61892831 0.47536314]
66,0.2923517545060576,0.21053561327040898,0.2514436838882333,[0.59590197 0.46436769],[0.62351024 0.45339909],[0.64814532 0.45742929],[0.66314298 0.46694636],[0.64572132 0.47557738],[0.62090462 0.47427279]
67,0.3038962378362167,0.2331862420498997,0.26854123994305823,[0.59764338 0.46486706],[0.62465674 0.45357797],[0.64884353 0.45772645],[0.66355801 0.46755403],[0.64663053 0.47619337],[0.62222272 0.47493637]
68,0.3127995658743799,0.2378888993327783,0.2753442326035791,[0.59850538 0.46583828],[0.62598467 0.45350581],[0.65041715 0.45801443],[0.66509902 0.46855503],[0.64776462 0.4771795 ],[0.62318361 0.4756774 ]
69,0.29322157041393226,0.23913554516163602,0.26617855778778415,[0.59788531 0.46476361],[0.62563008 0.45373988],[0.65051961 0.45812654],[0.66540873 0.46811572],[0.64828062 0.47633851],[0.62319726 0.47489882]
70,0.30287294612009125,0.2626698875023601,0.28277141681122564,[0.59907395 0.46433163],[0.6267302  0.45277804],[0.65165079 0.4570888 ],[0.66633135 0.46725374],[0.64921522 0.47588935],[0.62425393 0.47445875]
71,0.3055874970421105,0.2634552351615531,0.2845213661018318,[0.599231   0.46415439],[0.62705594 0.45231473],[0.6519627  0.45678091],[0.6663962  0.46713525],[0.64933103 0.47567979],[0.62436295 0.47415823]
72,0.299546348830475,0.26248792632573476,0.28101713757810487,[0.59899205 0.46463817],[0.62720746 0.45299953],[0.652242  0.4574489],[0.66694963 0.46761066],[0.64957976 0.47616947],[0.62438464 0.47465926]
73,0.2991178963953324,0.2710101959749372,0.2850640461851348,[0.59856761 0.46403006],[0.62694716 0.45269316],[0.65244651 0.45708448],[0.66727275 0.46712562],[0.64986295 0.47600913],[0.62412149 0.47455469]
74,0.3135985167825726,0.2670417880195497,0.2903201524010611,[0.59938639 0.46323949],[0.62730002 0.45105386],[0.6523363  0.45543352],[0.66712177 0.46605745],[0.64958251 0.47510239],[0.62445396 0.47353387]
75,0.3249150517976113,0.2738120367740474,0.29936354428582934,[0.59998566 0.46339077],[0.62751657 0.45057321],[0.65212464 0.45482048],[0.66664284 0.46558145],[0.64934164 0.47487271],[0.62465966 0.47349063]
76,0.3328327555365263,0.2879999859607887,0.31041637074865747,[0.59856308 0.46419913],[0.6268599  0.45046207],[0.65243    0.45452449],[0.6670633 0.4655472],[0.64973742 0.47570002],[0.62414211 0.47457039]
77,0.33695645658854834,0.3001553856181001,0.3185559211033242,[0.59862041 0.46300727],[0.62706369 0.44890314],[0.65295446 0.45299101],[0.66760969 0.46405703],[0.65006226 0.47459292],[0.62431711 0.47345346]
78,0.33923091719022924,0.29138285660854557,0.3153068868993874,[0.59862924 0.46243155],[0.62706554 0.44808128],[0.6529417  0.45223257],[0.66756296 0.46323431],[0.65002799 0.47392523],[0.62425894 0.47280711]
79,0.3501177885014154,0.29293108031013854,0.32152443440577694,[0.59939581 0.46280432],[0.62745661 0.44777128],[0.65303844 0.4517335 ],[0.66759503 0.46313253],[0.65001911 0.47396165],[0.6246354  0.47293743]
80,0.35392944836643453,0.29798780341162684,0.3259586258890307,[0.59929341 0.4630335 ],[0.62744111 0.44801104],[0.65303886 0.45226383],[0.6677801  0.46360859],[0.64995944 0.47477165],[0.62444055 0.47359884]
81,0.35341072839932514,0.29891529852434595,0.3261630134618355,[0.59941143 0.4629904 ],[0.62764794 0.4477053 ],[0.65318316 0.45174515],[0.66764706 0.4630886 ],[0.64981782 0.47417629],[0.62442231 0.47304913]
82,0.351546556324796,0.31642656932239804,0.333986562823597,[0.59836996 0.46283633],[0.62756407 0.44705081],[0.6539439  0.45088792],[0.6685158  0.46249229],[0.65051675 0.47392973],[0.62439352 0.47288132]
83,0.3495504048243523,0.3244894550244836,0.337019929924418,[0.59900308 0.4634437 ],[0.628142   0.44751742],[0.65433383 0.45135871],[0.66885626 0.46297011],[0.65097505 0.47412425],[0.62495679 0.47314379]
84,0.37790818796857534,0.32248859267314256,0.350198390320859,[0.60034692 0.46338964],[0.62986231 0.44545561],[0.65630841 0.44906941],[0.67055911 0.46142948],[0.6522783  0.47398987],[0.62614417 0.47305021]
85,0.38120837597601803,0.33885830940154027,0.3600333426887792,[0.60055858 0.46465385],[0.62992382 0.44642341],[0.65656054 0.4499312 ],[0.67092091 0.46223423],[0.65258431 0.47517329],[0.62636322 0.47432089]
86,0.38862300439687963,0.33547154676709867,0.3620472755819891,[0.60156417 0.4636516 ],[0.63120627 0.44492081],[0.65819669 0.44853395],[0.67262942 0.46096933],[0.65420341 0.47453016],[0.62767118 0.47367772]
87,0.39487476720093767,0.35677099657900935,0.3758228818899735,[0.60141325 0.4645479 ],[0.63148701 0.44568798],[0.65856189 0.44941968],[0.67288178 0.46210623],[0.65448248 0.47598845],[0.62776893 0.47504854]
88,0.38372198675183505,0.33375822278314976,0.3587401047674924,[0.60183191 0.46397361],[0.63139188 0.44525272],[0.6583882  0.44895244],[0.67251092 0.46116468],[0.65416658 0.47426766],[0.62772977 0.47363764]
89,0.4079328074693236,0.37925547074360966,0.3935941391064666,[0.60181719 0.46307844],[0.63115597 0.44342774],[0.65824461 0.44697806],[0.67206538 0.45934808],[0.65377694 0.47379246],[0.62726563 0.47338599]
90,0.41121248057271625,0.37628185536437964,0.3937471679685479,[0.60183442 0.46207502],[0.6314218 0.4423008],[0.65867531 0.44625521],[0.67253268 0.45860952],[0.65412641 0.4733904 ],[0.62733424 0.47272745]
91,0.408942672465462,0.3745205261757093,0.39173159932058566,[0.60150993 0.46196994],[0.63133967 0.44235399],[0.65887183 0.44633812],[0.67261952 0.4589076 ],[0.65435088 0.47347808],[0.62740052 0.47279969]
92,0.4211020416707135,0.36277816523580336,0.39194010345325847,[0.60303783 0.46363267],[0.63235515 0.44358343],[0.65934014 0.44754776],[0.67319781 0.46039769],[0.65444249 0.47521704],[0.6281358  0.47434783]
93,0.4181254977623185,0.36085262471810337,0.38948906124021093,[0.60312653 0.4623276 ],[0.63232267 0.4426972 ],[0.65941584 0.44678491],[0.67346787 0.45967487],[0.65497452 0.4743681 ],[0.62851524 0.47338831]
94,0.41870461676045095,0.3848108989116243,0.4017577578360376,[0.60326695 0.46174425],[0.63241273 0.44231492],[0.65948063 0.4466435 ],[0.67335898 0.45944509],[0.65492439 0.47402379],[0.62840676 0.47302523]
95,0.41340164044658917,0.3738820040254247,0.39364182223600697,[0.60399061 0.46321762],[0.63297576 0.44396907],[0.65936965 0.44811761],[0.6733095  0.46077579],[0.65470165 0.47484225],[0.62873119 0.47388887]
96,0.43004670376099713,0.3681686598645086,0.39910768181275286,[0.60346806 0.46305233],[0.63265067 0.4433108 ],[0.65956277 0.44756728],[0.67334032 0.46074209],[0.65489864 0.47568196],[0.62851501 0.47466984]
97,0.422368639653131,0.3648128319751946,0.3935907358141628,[0.60304856 0.46292809],[0.63245279 0.44291118],[0.65960443 0.44702131],[0.6734969 0.4602139],[0.65502453 0.47485811],[0.62847251 0.47400087]
98,0.401068643972109,0.37045254732208843,0.38576059564709875,[0.60260332 0.46231931],[0.63261002 0.44341737],[0.65995634 0.44743204],[0.67404848 0.45999539],[0.65557283 0.47422537],[0.62863332 0.47334391]
